GENE,"PATHWAY Z-SCORE
"
PRKD2,"0.4417660917519294
"
TRDV4,"0.4417660917519294
"
IGHV10-3,"0.4417660917519294
"
EIF2B2,"0.4417660917519294
"
PSPC1,"0.4417660917519294
"
PLEKHA1,"0.4417660917519294
"
STOML2,"0.4417660917519294
"
MYO1G,"0.4417660917519294
"
C1RL,"0.4417660917519294
"
RGCC,"0.4417660917519294
"
RFTN1,"0.4417660917519294
"
IGHV1-12,"0.4417660917519294
"
GPR33,"0.4417660917519294
"
ERMAP,"0.4417660917519294
"
SKINT8,"0.4417660917519294
"
MMP2,"0.4417660917519294
"
MMP12,"0.4417660917519294
"
P01748,"0.4417660917519294
"
P01747,"0.4417660917519294
"
P01745,"0.4417660917519294
"
P01741,"0.4417660917519294
"
BTNL10,"0.4417660917519294
"
P18532,"0.4417660917519294
"
P18530,"0.4417660917519294
"
P18529,"0.4417660917519294
"
P18528,"0.4417660917519294
"
P18527,"0.4417660917519294
"
P18526,"0.4417660917519294
"
P18525,"0.4417660917519294
"
P18524,"0.4417660917519294
"
BTNL9,"0.4417660917519294
"
UBE2K,"0.4417660917519294
"
COLEC11,"0.4417660917519294
"
TRBC2,"0.4417660917519294
"
IGHV2-7,"0.4417660917519294
"
IGHV5-17,"0.4417660917519294
"
IGHV3-1,"0.4417660917519294
"
IGHV1-58,"0.4417660917519294
"
P06330,"0.4417660917519294
"
P06329,"0.4417660917519294
"
USP9X,"0.4417660917519294
"
IGHV7-2,"0.4417660917519294
"
IGHV2-9,"0.4417660917519294
"
IGHV1-69,"0.4417660917519294
"
IGHV1-74,"0.4417660917519294
"
IGHV1-26,"0.4417660917519294
"
IGHV1-34,"0.4417660917519294
"
IGHV1-77,"0.4417660917519294
"
GPR31B,"0.4417660917519294
"
SFPQ,"0.4417660917519294
"
IGHV1-55,"0.4417660917519294
"
IGHV1-75,"0.4417660917519294
"
IGHV1-78,"0.4417660917519294
"
IGHV1-52,"0.4417660917519294
"
