,Gene,Z-Score
418,Cd70,-0.586856773
419,Cd74,1.470388957
420,Cd79a,0.441766092
421,Cd79b,0.441766092
422,Cd80,-0.072545341
423,Cd81,3.527634687
424,Cd83,-0.329701057
425,Cd84,0.956077524
426,Cd86,0.441766092
427,Cd8a,-0.586856773
428,Cd8b1,-0.072545341
429,Cd9,-0.586856773
430,Cd96,0.698921808
431,Cd99,-0.329701057
432,Cd99l2,-0.329701057
433,Cdc37,-0.072545341
434,Cdc42,-0.586856773
435,Cdc42ep2,-0.586856773
436,Cdc42ep4,-0.586856773
437,Cdc73,-0.586856773
438,Cdh17,-0.586856773
439,Cdh26,-0.84401249
440,Cdin1,-0.84401249
441,Cdk13,-0.84401249
442,Cdk5rap3,-0.84401249
443,Cdk6,-0.586856773
444,Cdkn1a,"-0.329701057, -0.234832691, -0.700786308, 2.231403765"
445,Cdkn1c,-0.84401249
446,Cdkn2a,-0.586856773
447,Cdkn2b,-0.84401249
448,Ceacam1,1.213233241
449,Ceacam20,-0.84401249
450,Cebpa,-0.329701057
451,Cebpb,-0.329701057
452,Cebpd,-0.84401249
453,Cebpe,-0.586856773
454,Cebpg,-0.586856773
455,Cfb,0.441766092
456,Cfc1,-0.84401249
457,Cfd,0.441766092
458,Cfh,0.698921808
459,Cfhr1,-0.586856773
460,Cfi,0.441766092
461,Cfp,0.441766092
462,Cftr,-0.329701057
463,Cgas,0.698921808
464,Ch25h,-0.84401249
465,Chd2,-0.84401249
466,Chd7,-0.84401249
467,Chga,-0.586856773
468,Chia1,-0.586856773
469,Chid1,-0.586856773
470,Chrna4,-0.84401249
471,Chrna7,-0.84401249
472,Chrnb2,-0.329701057
473,Chst3,-0.84401249
474,Chst4,-0.84401249
475,Chuk,-0.586856773
476,Ciao3,-0.84401249
477,Ciapin1,-0.84401249
478,Cib1,-0.586856773
479,Ciita,-0.586856773
480,Cited1,-0.586856773
481,Cited2,-0.84401249
482,Cklf,-0.84401249
483,Clcf1,3.013323254
484,Cldn18,-0.586856773
485,Clec12a,-0.072545341
486,Clec12b,0.698921808
487,Clec1b,-0.84401249
